Question,,,,,,,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
session_ID,Email,First Name,Last Name,CustomA,CustomB,Start Time,End Time,Duration,IP Address,What movie genre is your favorite?,Are you a dog person or a cat person,What is your preferred Operating System?,Do you prefer activities on your own or with others?,Star Wars or Star Trek?,Are you a good singer?,Do you nake wishes upon stars?,Do you play a musical instrument?,"On average, how many hours per day do you spend on the internet?","On average, how many hours per week do you spend coding?","On average, how many hours each week do you exercise?","How many meetups, of any kind, did you attend last year (2018)? Please enter 0 for none.",How many on-line courses have you taken?  Please enter 0 for none?,Do you own a small single-board computer such as a raspberry pi?,What is your age group?
14557548,,,,,,2019-01-03 14:30:00,2019-01-03 15:52:00,1:22:00,128.29.43.2,Science Fiction,Dog Person,Linux,With Others,Star Trek,Yes,No,Yes,4,8,2,20,5,Yes,Over 45 Years Old
14557549,,,,,,2019-01-03 15:48:00,2019-01-03 15:52:00,0:04:00,209.83.111.211,Adventure,Dog Person,Linux,With Others,Star Wars,No,Yes,Yes,8,10,5,20,5,Yes,Over 45 Years Old
14557593,,,,,,2019-01-03 16:00:00,2019-01-03 16:06:00,0:06:00,65.216.236.226,Romance,Cat Person,Linux,Individual (On my own),Star Trek,No,Yes,Yes,12,8,0,10,3,No,Over 45 Years Old
14557610,,,,,,2019-01-03 16:15:00,2019-01-03 16:16:00,0:01:00,162.129.251.19,Science Fiction,Dog Person,Windows,With Others,Star Wars,No,No,Yes,6,4,7,5,10,No,30 to 45 Years Old
14557624,,,,,,2019-01-03 16:29:00,2019-01-03 16:30:00,0:01:00,,Science Fiction,Cat Person,Linux,With Others,Star Wars,No,No,No,15,25,10,5,6,Yes,Less than 30 Years Old
14557716,,,,,,2019-01-03 17:20:00,2019-01-03 17:21:00,0:01:00,50.205.199.122,Comedy,Cat Person,Android,With Others,Star Trek,No,Yes,No,2,0,4,1,6,Yes,30 to 45 Years Old
14557824,,,,,,2019-01-03 18:29:00,2019-01-03 18:31:00,0:02:00,128.244.87.102,Science Fiction,Cat Person,Windows,Individual (On my own),Star Wars,No,No,No,10,25,12,4,1,No,Less than 30 Years Old
14557856,,,,,,2019-01-03 18:43:00,2019-01-03 18:44:00,0:01:00,208.44.206.101,Romance,Cat Person,IOS,With Others,Star Trek,Yes,No,No,4,0,5,10,3,No,Over 45 Years Old
14558008,,,,,,2019-01-03 20:16:00,2019-01-03 20:19:00,0:03:00,100.16.96.136,Comedy,Dog Person,Mac,With Others,Star Wars,No,No,No,7,3,6,0,2,No,Less than 30 Years Old
14558023,,,,,,2019-01-03 20:42:00,2019-01-03 20:43:00,0:01:00,167.201.241.175,Adventure,Dog Person,Windows,Individual (On my own),Star Trek,No,Yes,Yes,4,0,3.5,0,4,No,30 to 45 Years Old
14558032,,,,,,2019-01-03 20:57:00,2019-01-03 20:59:00,0:02:00,100.16.60.156,Comedy,Dog Person,Windows,With Others,Star Trek,No,No,No,20,40,5,5,0,No,Over 45 Years Old
14558253,,,,,,2019-01-04 1:41:00,2019-01-04 1:42:00,0:01:00,98.117.212.243,Horror,Dog Person,Windows,Individual (On my own),Star Wars,Yes,No,Yes,8,50,2,4,4,Yes,30 to 45 Years Old
